Ticker,name,sector,opening,closing,high,low
HPQ,HP Inc.,Information Technology,"[['2021-08-02', 29.05]]","[['2021-08-02', 29.14]]","[['2021-08-02', 29.475]]","[['2021-08-02', 28.915]]"
HUM,Humana Inc.,Health Care,"[['2021-08-02', 426.0]]","[['2021-08-02', 429.58]]","[['2021-08-02', 430.67]]","[['2021-08-02', 422.74]]"
HBAN,Huntington Bancshares,Financials,"[['2021-08-02', 14.15]]","[['2021-08-02', 14.0]]","[['2021-08-02', 14.475]]","[['2021-08-02', 14.0]]"
HII,Huntington Ingalls Industries,Industrials,"[['2021-08-02', 205.78]]","[['2021-08-02', 203.42]]","[['2021-08-02', 208.2886]]","[['2021-08-02', 203.22]]"
IEX,IDEX Corporation,Industrials,"[['2021-08-02', 228.07]]","[['2021-08-02', 225.94]]","[['2021-08-02', 229.82]]","[['2021-08-02', 225.75]]"
IDXX,Idexx Laboratories,Health Care,"[['2021-08-02', 687.41]]","[['2021-08-02', 678.72]]","[['2021-08-02', 688.69]]","[['2021-08-02', 666.85]]"
INFO,IHS Markit,Industrials,"[['2021-08-02', 117.07]]","[['2021-08-02', 117.98]]","[['2021-08-02', 119.07]]","[['2021-08-02', 117.02]]"
ITW,Illinois Tool Works,Industrials,"[['2021-08-02', 227.24]]","[['2021-08-02', 225.49]]","[['2021-08-02', 228.45]]","[['2021-08-02', 225.33]]"
ILMN,Illumina Inc,Health Care,"[['2021-08-02', 498.07]]","[['2021-08-02', 492.99]]","[['2021-08-02', 499.96]]","[['2021-08-02', 490.61]]"
INCY,Incyte,Health Care,"[['2021-08-02', 77.49]]","[['2021-08-02', 78.47]]","[['2021-08-02', 78.67]]","[['2021-08-02', 77.22]]"
IR,Ingersoll Rand,Industrials,"[['2021-08-02', 48.96]]","[['2021-08-02', 48.37]]","[['2021-08-02', 49.86]]","[['2021-08-02', 48.31]]"
INTC,Intel Corp.,Information Technology,"[['2021-08-02', 53.99]]","[['2021-08-02', 53.68]]","[['2021-08-02', 54.47]]","[['2021-08-02', 53.535]]"
ICE,Intercontinental Exchange,Financials,"[['2021-08-02', 120.25]]","[['2021-08-02', 119.43]]","[['2021-08-02', 120.62]]","[['2021-08-02', 119.235]]"
IBM,International Business Machines,Information Technology,"[['2021-08-02', 141.45]]","[['2021-08-02', 141.42]]","[['2021-08-02', 143.06]]","[['2021-08-02', 141.03]]"
IP,International Paper,Materials,"[['2021-08-02', 57.96]]","[['2021-08-02', 57.51]]","[['2021-08-02', 59.12]]","[['2021-08-02', 57.3925]]"
IPG,Interpublic Group,Communication Services,"[['2021-08-02', 35.67]]","[['2021-08-02', 35.55]]","[['2021-08-02', 36.26]]","[['2021-08-02', 35.41]]"
IFF,International Flavors & Fragrances,Materials,"[['2021-08-02', 151.49]]","[['2021-08-02', 149.59]]","[['2021-08-02', 151.99]]","[['2021-08-02', 149.47]]"
INTU,Intuit Inc.,Information Technology,"[['2021-08-02', 532.11]]","[['2021-08-02', 527.51]]","[['2021-08-02', 534.77]]","[['2021-08-02', 525.37]]"
ISRG,Intuitive Surgical Inc.,Health Care,"[['2021-08-02', 995.99]]","[['2021-08-02', 992.55]]","[['2021-08-02', 998.67]]","[['2021-08-02', 986.03]]"
IVZ,Invesco Ltd.,Financials,"[['2021-08-02', 24.69]]","[['2021-08-02', 24.42]]","[['2021-08-02', 25.26]]","[['2021-08-02', 24.35]]"
IPGP,IPG Photonics Corp.,Information Technology,"[['2021-08-02', 219.65]]","[['2021-08-02', 217.5]]","[['2021-08-02', 220.51]]","[['2021-08-02', 217.02]]"
IQV,IQVIA Holdings Inc.,Health Care,"[['2021-08-02', 248.43]]","[['2021-08-02', 247.3]]","[['2021-08-02', 249.425]]","[['2021-08-02', 246.3]]"
IRM,Iron Mountain Incorporated,Real Estate,"[['2021-08-02', 44.09]]","[['2021-08-02', 43.76]]","[['2021-08-02', 44.4]]","[['2021-08-02', 43.67]]"
JKHY,Jack Henry & Associates,Information Technology,"[['2021-08-02', 174.84]]","[['2021-08-02', 174.57]]","[['2021-08-02', 175.57]]","[['2021-08-02', 173.43]]"
